"","Date","Count"
"137",2016-09-22,283
"439",2016-09-23,315
"510",2016-09-24,302
"597",2016-09-25,277
"26",2016-09-26,281
"457",2016-09-27,285
"500",2016-09-28,271
"602",2016-09-29,287
"512",2016-09-30,290
"31",2016-10-01,315
"382",2016-10-02,252
"302",2016-10-03,258
"237",2016-10-04,273
"593",2016-10-05,272
"358",2016-10-06,304
"604",2016-10-07,283
"266",2016-10-08,345
"576",2016-10-09,229
"345",2016-10-10,249
"188",2016-10-11,290
"119",2016-10-12,265
"552",2016-10-13,259
"322",2016-10-14,303
"341",2016-10-15,301
"470",2016-10-16,239
"338",2016-10-17,288
"562",2016-10-18,277
"473",2016-10-19,302
"315",2016-10-20,254
"550",2016-10-21,306
"560",2016-10-22,252
"540",2016-10-23,258
"126",2016-10-24,310
"568",2016-10-25,253
"86",2016-10-26,281
"520",2016-10-27,271
"523",2016-10-28,275
"186",2016-10-29,268
"581",2016-10-30,239
"415",2016-10-31,311
"75",2016-11-01,344
"527",2016-11-02,308
"372",2016-11-03,272
"553",2016-11-04,283
"453",2016-11-05,297
"485",2016-11-06,251
"518",2016-11-07,261
"465",2016-11-08,247
"461",2016-11-09,243
"455",2016-11-10,291
"436",2016-11-11,294
"370",2016-11-12,266
"587",2016-11-13,205
"544",2016-11-14,254
"471",2016-11-15,299
"250",2016-11-16,296
"484",2016-11-17,309
"570",2016-11-18,277
"509",2016-11-19,264
"537",2016-11-20,258
"373",2016-11-21,267
"521",2016-11-22,267
"477",2016-11-23,264
"584",2016-11-24,149
"498",2016-11-25,239
"536",2016-11-26,238
"558",2016-11-27,213
"503",2016-11-28,258
"559",2016-11-29,265
"551",2016-11-30,243
"190",2016-12-01,315
"565",2016-12-02,301
"519",2016-12-03,253
"569",2016-12-04,262
"533",2016-12-05,260
"475",2016-12-06,298
"425",2016-12-07,299
"516",2016-12-08,300
"497",2016-12-09,278
"306",2016-12-10,231
"479",2016-12-11,238
"514",2016-12-12,259
"51",2016-12-13,262
"63",2016-12-14,248
"64",2016-12-15,279
"515",2016-12-16,242
"547",2016-12-17,264
"532",2016-12-18,252
"539",2016-12-19,278
"252",2016-12-20,249
"494",2016-12-21,238
"180",2016-12-22,281
"311",2016-12-23,267
"524",2016-12-24,195
"472",2016-12-25,140
"438",2016-12-26,199
"294",2016-12-27,224
"480",2016-12-28,266
"232",2016-12-29,275
"432",2016-12-30,233
"413",2016-12-31,265
"14",2017-01-01,278
"525",2017-01-02,219
"211",2017-01-03,230
"535",2017-01-04,273
"481",2017-01-05,268
"351",2017-01-06,279
"517",2017-01-07,227
"489",2017-01-08,193
"288",2017-01-09,276
"208",2017-01-10,264
"511",2017-01-11,267
"467",2017-01-12,257
"371",2017-01-13,263
"347",2017-01-14,247
"129",2017-01-15,225
"492",2017-01-16,223
"435",2017-01-17,283
"513",2017-01-18,249
"199",2017-01-19,270
"241",2017-01-20,270
"178",2017-01-21,278
"412",2017-01-22,237
"27",2017-01-23,297
