"","Date","Count"
"1368",2019-02-22,288
"1348",2019-02-23,251
"1328",2019-02-24,207
"1316",2019-02-25,290
"1359",2019-02-26,224
"1369",2019-02-27,248
"1350",2019-02-28,235
"1198",2019-03-01,299
"1259",2019-03-02,231
"1291",2019-03-03,222
"1264",2019-03-04,239
"1273",2019-03-05,260
"1320",2019-03-06,220
"1243",2019-03-07,260
"1341",2019-03-08,245
"1215",2019-03-09,229
"1130",2019-03-10,205
"1317",2019-03-11,252
"1292",2019-03-12,246
"1360",2019-03-13,276
"1343",2019-03-14,305
"1152",2019-03-15,275
"1313",2019-03-16,264
"1302",2019-03-17,213
"1303",2019-03-18,274
"1154",2019-03-19,225
"1280",2019-03-20,280
"1322",2019-03-21,251
"1278",2019-03-22,225
"1362",2019-03-23,216
"1344",2019-03-24,224
"1242",2019-03-25,249
"1346",2019-03-26,250
"1324",2019-03-27,308
"1340",2019-03-28,289
"1337",2019-03-29,300
"1298",2019-03-30,281
"1311",2019-03-31,217
"1193",2019-04-01,300
"1325",2019-04-02,233
"1349",2019-04-03,283
"1287",2019-04-04,264
"1184",2019-04-05,235
"1305",2019-04-06,270
"1330",2019-04-07,233
"1222",2019-04-08,255
"1327",2019-04-09,275
"1315",2019-04-10,274
"1167",2019-04-11,283
"1271",2019-04-12,285
"1133",2019-04-13,261
"1224",2019-04-14,234
"1314",2019-04-15,244
"1334",2019-04-16,198
"1220",2019-04-17,212
"1269",2019-04-18,234
"1244",2019-04-19,264
"1285",2019-04-20,241
"1345",2019-04-21,190
"1250",2019-04-22,244
"1247",2019-04-23,266
"1301",2019-04-24,284
"1257",2019-04-25,293
"1339",2019-04-26,247
"1336",2019-04-27,252
"1326",2019-04-28,240
"1276",2019-04-29,302
"1270",2019-04-30,226
"1190",2019-05-01,287
"1213",2019-05-02,255
"1308",2019-05-03,276
"1294",2019-05-04,261
"1321",2019-05-05,228
"1288",2019-05-06,289
"1261",2019-05-07,289
"1318",2019-05-08,310
"1246",2019-05-09,327
"1159",2019-05-10,302
"1284",2019-05-11,274
"1256",2019-05-12,210
"1262",2019-05-13,275
"1333",2019-05-14,243
"1191",2019-05-15,336
"1211",2019-05-16,284
"1310",2019-05-17,312
"1226",2019-05-18,294
"1268",2019-05-19,223
"1221",2019-05-20,300
"1309",2019-05-21,268
"1279",2019-05-22,324
"1239",2019-05-23,336
"1267",2019-05-24,304
"1186",2019-05-25,267
"1282",2019-05-26,259
"1295",2019-05-27,249
"1171",2019-05-28,268
"1258",2019-05-29,244
"1223",2019-05-30,289
"1203",2019-05-31,287
"1210",2019-06-01,301
"1205",2019-06-02,237
"1252",2019-06-03,277
"1274",2019-06-04,316
"1249",2019-06-05,262
"1281",2019-06-06,278
"1179",2019-06-07,299
"1199",2019-06-08,286
"1304",2019-06-09,255
"1260",2019-06-10,301
"1253",2019-06-11,290
"1128",2019-06-12,270
"1283",2019-06-13,264
"1236",2019-06-14,292
"1229",2019-06-15,282
"1299",2019-06-16,209
"1173",2019-06-17,278
"1297",2019-06-18,254
"1263",2019-06-19,309
"1241",2019-06-20,238
"1214",2019-06-21,279
"1272",2019-06-22,308
"1165",2019-06-23,251
"1206",2019-06-24,333
"1183",2019-06-25,263
"1216",2019-06-26,335
"1200",2019-06-27,314
"1208",2019-06-28,339
"1277",2019-06-29,294
"1254",2019-06-30,224
"1163",2019-07-01,308
"1219",2019-07-02,271
"1234",2019-07-03,314
"1266",2019-07-04,259
"1212",2019-07-05,309
"1235",2019-07-06,266
"1232",2019-07-07,254
"1132",2019-07-08,279
"1255",2019-07-09,332
"1251",2019-07-10,274
"1228",2019-07-11,279
"1233",2019-07-12,316
"1230",2019-07-13,282
"1174",2019-07-14,296
"1218",2019-07-15,291
"1134",2019-07-16,262
"1178",2019-07-17,315
"1265",2019-07-18,282
"1151",2019-07-19,323
"1182",2019-07-20,256
"1238",2019-07-21,260
"1217",2019-07-22,284
"1172",2019-07-23,268
"1225",2019-07-24,296
"1248",2019-07-25,274
"1143",2019-07-26,313
"1113",2019-07-27,291
"1204",2019-07-28,267
"1189",2019-07-29,293
"1118",2019-07-30,294
"1240",2019-07-31,305
"1120",2019-08-01,336
"1169",2019-08-02,316
"1195",2019-08-03,280
"1202",2019-08-04,278
"1149",2019-08-05,319
"1188",2019-08-06,309
"1209",2019-08-07,291
"1192",2019-08-08,295
"1185",2019-08-09,297
"1161",2019-08-10,321
"1227",2019-08-11,251
"1140",2019-08-12,300
"1141",2019-08-13,304
"1207",2019-08-14,256
"1162",2019-08-15,297
"1181",2019-08-16,313
"1155",2019-08-17,305
"1168",2019-08-18,250
"1196",2019-08-19,300
"1121",2019-08-20,324
"1156",2019-08-21,302
"1187",2019-08-22,313
"1166",2019-08-23,344
"1201",2019-08-24,289
"1194",2019-08-25,245
"1177",2019-08-26,294
"1126",2019-08-27,317
"1197",2019-08-28,281
"1158",2019-08-29,298
"1153",2019-08-30,303
"1147",2019-08-31,303
"1148",2019-09-01,282
"1125",2019-09-02,272
"1129",2019-09-03,335
"1145",2019-09-04,295
"1142",2019-09-05,300
"1119",2019-09-06,298
"1160",2019-09-07,289
"1170",2019-09-08,254
"1122",2019-09-09,305
"1144",2019-09-10,258
"1146",2019-09-11,322
"1157",2019-09-12,288
"1114",2019-09-13,331
"1139",2019-09-14,244
"1138",2019-09-15,250
"1127",2019-09-16,275
"1131",2019-09-17,279
"1112",2019-09-18,331
"1135",2019-09-19,299
"1136",2019-09-20,309
"1137",2019-09-21,277
"1123",2019-09-22,268
"1117",2019-09-23,298
"1116",2019-09-24,299
"1124",2019-09-25,302
"1115",2019-09-26,235
"1111",2019-09-27,284
"1110",2019-09-28,222
"1109",2019-09-29,230
"1429",2019-09-30,312
"1381",2019-10-01,304
"1108",2019-10-02,280
"1456",2019-10-03,255
"1461",2019-10-04,319
"1434",2019-10-05,276
"1428",2019-10-06,244
"1398",2019-10-07,281
"1427",2019-10-08,264
"1383",2019-10-09,277
"1438",2019-10-10,274
"1458",2019-10-11,303
"1107",2019-10-12,244
"1106",2019-10-13,256
"1457",2019-10-14,268
"1400",2019-10-15,279
"1392",2019-10-16,272
"1397",2019-10-17,264
"1406",2019-10-18,287
"1424",2019-10-19,270
"1445",2019-10-20,237
"1431",2019-10-21,302
"1405",2019-10-22,266
"1098",2019-10-23,277
"1404",2019-10-24,274
"1454",2019-10-25,287
"1439",2019-10-26,282
"1448",2019-10-27,197
"1459",2019-10-28,292
"1399",2019-10-29,242
"1441",2019-10-30,291
"1387",2019-10-31,312
"1395",2019-11-01,355
"1101",2019-11-02,272
"1386",2019-11-03,215
"1412",2019-11-04,282
"1100",2019-11-05,258
"1396",2019-11-06,298
"1407",2019-11-07,281
"1460",2019-11-08,246
"1415",2019-11-09,257
"1442",2019-11-10,241
"1450",2019-11-11,266
"1384",2019-11-12,227
"1426",2019-11-13,243
"1416",2019-11-14,275
"1423",2019-11-15,305
"1432",2019-11-16,258
"1390",2019-11-17,219
"1418",2019-11-18,268
"1414",2019-11-19,280
"1389",2019-11-20,272
"1391",2019-11-21,312
"1099",2019-11-22,253
"1430",2019-11-23,246
"1453",2019-11-24,238
"1452",2019-11-25,281
"1401",2019-11-26,265
"1435",2019-11-27,285
"1455",2019-11-28,162
"1105",2019-11-29,251
"1421",2019-11-30,253
"1382",2019-12-01,237
"1394",2019-12-02,227
"1385",2019-12-03,205
"1417",2019-12-04,248
"1419",2019-12-05,280
"1433",2019-12-06,300
"1437",2019-12-07,271
"1104",2019-12-08,249
"1451",2019-12-09,271
"1420",2019-12-10,271
"1413",2019-12-11,280
"1393",2019-12-12,286
"1447",2019-12-13,295
"1103",2019-12-14,279
"1402",2019-12-15,235
"1410",2019-12-16,277
"1425",2019-12-17,237
"1446",2019-12-18,271
"1409",2019-12-19,245
"1097",2019-12-20,291
"1449",2019-12-21,260
"1411",2019-12-22,233
"1440",2019-12-23,262
"1403",2019-12-24,254
"1443",2019-12-25,184
"1422",2019-12-26,202
"1436",2019-12-27,232
"1408",2019-12-28,239
"1444",2019-12-29,214
"1102",2019-12-30,220
"1388",2019-12-31,245
"1542",2020-01-01,292
"1485",2020-01-02,259
"1819",2020-01-03,280
"1486",2020-01-04,229
"1767",2020-01-05,221
"1737",2020-01-06,245
"1822",2020-01-07,233
"1798",2020-01-08,245
"1815",2020-01-09,231
"1677",2020-01-10,308
"1804",2020-01-11,270
"1781",2020-01-12,240
"1716",2020-01-13,274
"1760",2020-01-14,259
"1547",2020-01-15,264
"1477",2020-01-16,266
"1820",2020-01-17,263
"1582",2020-01-18,266
"1693",2020-01-19,224
"1827",2020-01-20,226
"1790",2020-01-21,254
"1821",2020-01-22,258
"1602",2020-01-23,286
"1818",2020-01-24,241
"1484",2020-01-25,252
"1733",2020-01-26,232
"1810",2020-01-27,267
"1487",2020-01-28,254
"1748",2020-01-29,267
"1825",2020-01-30,262
"1813",2020-01-31,284
"1509",2020-02-01,265
"1723",2020-02-02,248
"1806",2020-02-03,292
"1809",2020-02-04,291
"1796",2020-02-05,262
"1591",2020-02-06,263
"1774",2020-02-07,266
"1614",2020-02-08,239
"1466",2020-02-09,209
"1817",2020-02-10,250
"1826",2020-02-11,274
"1823",2020-02-12,256
"1824",2020-02-13,237
"1684",2020-02-14,303
"1807",2020-02-15,246
"1816",2020-02-16,218
"1797",2020-02-17,211
"1808",2020-02-18,232
"1814",2020-02-19,245
"1489",2020-02-20,254
"1490",2020-02-21,267
"1791",2020-02-22,236
"1492",2020-02-23,225
"1731",2020-02-24,277
"1811",2020-02-25,270
"1812",2020-02-26,254
"1805",2020-02-27,234
"1775",2020-02-28,278
"1690",2020-02-29,300
"1536",2020-03-01,278
"1701",2020-03-02,274
"1482",2020-03-03,280
"1752",2020-03-04,282
"1688",2020-03-05,253
"1802",2020-03-06,288
"1600",2020-03-07,255
"1772",2020-03-08,228
"1581",2020-03-09,279
"1465",2020-03-10,300
"1785",2020-03-11,247
"1778",2020-03-12,276
"1730",2020-03-13,249
"1759",2020-03-14,270
"1671",2020-03-15,239
"1702",2020-03-16,217
"1758",2020-03-17,215
"1764",2020-03-18,202
"1483",2020-03-19,197
"1573",2020-03-20,210
"1548",2020-03-21,222
"1776",2020-03-22,189
"1787",2020-03-23,201
"1789",2020-03-24,207
"1480",2020-03-25,212
"1762",2020-03-26,163
"1799",2020-03-27,231
"1479",2020-03-28,180
"1718",2020-03-29,150
"1672",2020-03-30,232
"1491",2020-03-31,208
"1476",2020-04-01,241
"1777",2020-04-02,194
"1473",2020-04-03,176
"1800",2020-04-04,165
"1792",2020-04-05,187
"1786",2020-04-06,175
"1783",2020-04-07,202
"1724",2020-04-08,212
"1678",2020-04-09,179
"1757",2020-04-10,195
"1753",2020-04-11,205
"1803",2020-04-12,173
"1528",2020-04-13,203
"1794",2020-04-14,211
"1656",2020-04-15,218
"1648",2020-04-16,159
"1782",2020-04-17,200
"1468",2020-04-18,157
"1467",2020-04-19,198
"1795",2020-04-20,205
"1793",2020-04-21,207
"1686",2020-04-22,185
"1653",2020-04-23,183
"1481",2020-04-24,198
"1761",2020-04-25,210
"1801",2020-04-26,162
"1586",2020-04-27,180
"1788",2020-04-28,210
"1770",2020-04-29,214
"1692",2020-04-30,209
"1577",2020-05-01,258
"1711",2020-05-02,201
"1779",2020-05-03,220
"1771",2020-05-04,229
"1703",2020-05-05,178
"1773",2020-05-06,212
"1784",2020-05-07,173
"1751",2020-05-08,231
"1765",2020-05-09,199
"1616",2020-05-10,203
"1744",2020-05-11,212
"1732",2020-05-12,196
"1695",2020-05-13,199
"1464",2020-05-14,217
"1728",2020-05-15,264
"1780",2020-05-16,212
"1763",2020-05-17,197
"1745",2020-05-18,228
"1674",2020-05-19,223
"1503",2020-05-20,227
"1746",2020-05-21,258
"1712",2020-05-22,296
"1766",2020-05-23,231
"1603",2020-05-24,210
"1584",2020-05-25,186
"1717",2020-05-26,256
"1768",2020-05-27,234
"1687",2020-05-28,273
"1735",2020-05-29,283
"1539",2020-05-30,298
"1635",2020-05-31,319
"1620",2020-06-01,358
"1631",2020-06-02,233
"1598",2020-06-03,234
"1518",2020-06-04,249
"1741",2020-06-05,255
"1754",2020-06-06,197
"1750",2020-06-07,199
"1769",2020-06-08,255
"1552",2020-06-09,225
"1546",2020-06-10,214
"1705",2020-06-11,295
"1478",2020-06-12,281
"1740",2020-06-13,257
"1738",2020-06-14,225
"1590",2020-06-15,246
"1749",2020-06-16,266
"1662",2020-06-17,235
"1756",2020-06-18,254
"1743",2020-06-19,259
"1739",2020-06-20,271
"1742",2020-06-21,221
"1725",2020-06-22,277
"1475",2020-06-23,271
"1463",2020-06-24,314
"1691",2020-06-25,249
"1713",2020-06-26,286
"1722",2020-06-27,239
"1649",2020-06-28,224
"1607",2020-06-29,224
"1650",2020-06-30,246
"1663",2020-07-01,310
"1652",2020-07-02,258
"1474",2020-07-03,282
"1694",2020-07-04,237
"1578",2020-07-05,256
"1472",2020-07-06,263
"1497",2020-07-07,278
"1645",2020-07-08,240
"1641",2020-07-09,242
"1720",2020-07-10,243
"1593",2020-07-11,236
"1755",2020-07-12,219
"1611",2020-07-13,242
"1595",2020-07-14,229
"1585",2020-07-15,270
"1699",2020-07-16,269
"1634",2020-07-17,247
"1462",2020-07-18,244
"1471",2020-07-19,239
"1697",2020-07-20,233
"1554",2020-07-21,285
"1673",2020-07-22,268
"1736",2020-07-23,263
"1666",2020-07-24,254
"1747",2020-07-25,251
"1721",2020-07-26,221
"1726",2020-07-27,273
"1715",2020-07-28,257
"1654",2020-07-29,270
"1599",2020-07-30,260
"1676",2020-07-31,268
"1506",2020-08-01,282
"1613",2020-08-02,281
"1681",2020-08-03,329
"1583",2020-08-04,270
"1655",2020-08-05,256
"1714",2020-08-06,312
"1708",2020-08-07,279
"1566",2020-08-08,241
"1727",2020-08-09,240
"1594",2020-08-10,287
"1540",2020-08-11,282
"1561",2020-08-12,252
"1709",2020-08-13,257
"1664",2020-08-14,280
"1680",2020-08-15,246
"1704",2020-08-16,221
"1729",2020-08-17,252
"1668",2020-08-18,270
"1707",2020-08-19,284
"1522",2020-08-20,287
"1675",2020-08-21,257
"1698",2020-08-22,285
"1669",2020-08-23,245
"1719",2020-08-24,250
"1734",2020-08-25,259
"1661",2020-08-26,266
"1657",2020-08-27,260
"1682",2020-08-28,278
"1570",2020-08-29,267
"1556",2020-08-30,268
"1696",2020-08-31,308
"1544",2020-09-01,315
"1659",2020-09-02,249
"1630",2020-09-03,286
"1685",2020-09-04,285
"1589",2020-09-05,261
"1592",2020-09-06,241
"1568",2020-09-07,235
"1596",2020-09-08,286
"1706",2020-09-09,286
"1498",2020-09-10,291
"1647",2020-09-11,266
"1626",2020-09-12,256
"1710",2020-09-13,275
"1689",2020-09-14,280
"1633",2020-09-15,274
"1621",2020-09-16,281
"1642",2020-09-17,300
"1553",2020-09-18,252
"1636",2020-09-19,257
"1608",2020-09-20,225
"1679",2020-09-21,243
"1495",2020-09-22,239
"1558",2020-09-23,265
"1639",2020-09-24,240
"1646",2020-09-25,289
"1612",2020-09-26,284
"1700",2020-09-27,261
"1667",2020-09-28,331
"1564",2020-09-29,279
"1525",2020-09-30,286
"1551",2020-10-01,293
"1638",2020-10-02,257
"1644",2020-10-03,288
"1580",2020-10-04,260
"1526",2020-10-05,257
"1488",2020-10-06,291
"1576",2020-10-07,312
"1622",2020-10-08,269
"1660",2020-10-09,312
"1597",2020-10-10,285
"1627",2020-10-11,218
"1683",2020-10-12,231
"1670",2020-10-13,223
"1629",2020-10-14,296
"1601",2020-10-15,266
"1470",2020-10-16,280
"1579",2020-10-17,249
"1628",2020-10-18,235
"1615",2020-10-19,265
"1658",2020-10-20,285
"1493",2020-10-21,285
"1543",2020-10-22,303
"1469",2020-10-23,292
"1651",2020-10-24,300
"1665",2020-10-25,223
"1624",2020-10-26,289
"1541",2020-10-27,262
"1623",2020-10-28,265
"1510",2020-10-29,261
"1588",2020-10-30,237
"1532",2020-10-31,243
"1496",2020-11-01,254
"1507",2020-11-02,239
"1640",2020-11-03,222
"1643",2020-11-04,238
"1625",2020-11-05,233
"1534",2020-11-06,281
"1569",2020-11-07,282
"1610",2020-11-08,204
"1571",2020-11-09,250
"1565",2020-11-10,293
"1632",2020-11-11,225
"1567",2020-11-12,252
"1604",2020-11-13,272
"1618",2020-11-14,208
"1504",2020-11-15,209
"1563",2020-11-16,256
"1533",2020-11-17,266
"1501",2020-11-18,221
"1557",2020-11-19,283
"1529",2020-11-20,307
"1531",2020-11-21,216
"1637",2020-11-22,184
"1605",2020-11-23,230
"1550",2020-11-24,246
"1560",2020-11-25,268
"1574",2020-11-26,158
"1617",2020-11-27,233
"1519",2020-11-28,212
"1535",2020-11-29,197
"1502",2020-11-30,272
"1500",2020-12-01,309
"1515",2020-12-02,257
"1572",2020-12-03,275
"1527",2020-12-04,275
"1619",2020-12-05,217
"1545",2020-12-06,184
"1514",2020-12-07,260
"1606",2020-12-08,232
"1511",2020-12-09,227
"1609",2020-12-10,238
"1524",2020-12-11,243
"1587",2020-12-12,240
"1537",2020-12-13,233
"1575",2020-12-14,207
"1512",2020-12-15,246
"1562",2020-12-16,279
"1517",2020-12-17,218
"1520",2020-12-18,252
"1499",2020-12-19,259
"1559",2020-12-20,199
"1555",2020-12-21,244
"1521",2020-12-22,265
"1513",2020-12-23,233
"1538",2020-12-24,261
"1523",2020-12-25,311
"1549",2020-12-26,252
"1516",2020-12-27,214
"1530",2020-12-28,250
"1494",2020-12-29,234
"1508",2020-12-30,270
"1505",2020-12-31,479
